25381,68,-44.32,3454,54.28571429,70.14285714,63.42857143,5,179,5423,73,5423
25690,69,-41.55,4430,53.85714286,70.42857143,63.28571429,5.2,181,5847,72,5847
25992,70,-9.39,3866,53.42857143,70.71428571,63.14285714,5.9,196,6353,79,6353
26200,71,-58.51,3280,53,71,63,6.4,205,6482,82,6482
26289,72,-61.61,5489,53.07142857,71.14285714,63.21428571,7.6,245,6743,100,6743
26386,73,-60.48,5551,53.14285714,71.28571429,63.42857143,8.1,274,7061,106,7061
26545,74,-61.39,5996,53.21428571,71.42857143,63.64285714,8.6,288,7246,112,7246
26685,75,-58.43,5707,53.28571429,71.57142857,63.85714286,8.6,296,0,114,7614
26790,76,-54.77,5742,53.35714286,71.71428571,64.07142857,9.6,337,7982,121,7982
26922,77,-60.8,5357,53.42857143,71.85714286,64.28571429,10.3,343,8623,120,8623
26998,78,-65.86,4288,53.5,72,64.5,12,373,9137,125,9137
27010,79,-64.24,6975,53.57142857,72.14285714,64.71428571,12.3,388,9705,135,9705
27131,80,-65.92,8076,53.64285714,72.28571429,64.92857143,12.1,404,10302,137,10302
27221,81,-48.47,7915,53.71428571,72.42857143,65.14285714,12.9,426,10874,159,10874
27290,82,-56.42,7555,53.78571429,72.57142857,65.35714286,13.4,459,11192,168,11192
27355,83,-75.42,8258,53.85714286,72.71428571,65.57142857,13.6,461,11333,175,11333
27467,84,-61.56,3449,53.92857143,72.85714286,65.78571429,14.3,469,11886,175,11886
27596,85,-65.23,5318,54,73,66,15.4,485,12200,144,12200
27678,86,-67.9,10028,54.375,73.625,66.375,18,550,12686,148,12686
27717,87,-66.77,9979,54.75,74.25,66.75,16.2,534,13439,157,13439
27794,88,-65.51,9782,55.125,74.875,67.125,14.8,504,14144,185,14144
27888,89,-59.42,9765,55.5,75.5,67.5,14.3,486,14629,151,14629
27982,90,-58.76,10351,55.875,76.125,67.875,14.7,500,14948,153,14948
28206,91,-60.48,8196,56.25,76.75,68.25,14.5,483,15114,157,15114
28317,92,-68.28,5655,56.625,77.375,68.625,15.6,498,15727,166,15727
28381,93,-67.59,10745,57,78,69,16.9,518,16287,173,16287
28507,94,-65.02,10791,55.83333333,77.33333333,68.33333333,16.4,530,16868,173,16868
28589,95,-62.98,10291,54.66666667,76.66666667,67.66666667,16.3,548,17292,175,17292
28778,96,-57.93,10256,53.5,76,67,15.5,517,17534,160,17534
28927,97,-54.1,10158,52.33333333,75.33333333,66.33333333,15.6,521,17782,185,17782
29040,98,-55.37,7300,51.16666667,74.66666667,65.66666667,16.8,522,17979,184,17979
29212,99,-66.97,7404,50,74,65,17.5,542,18130,184,18130
29275,100,-65.11,9305,50.71428571,74.42857143,65,18.4,577,18744,184,18744
29283,101,-64.86,9879,51.42857143,74.85714286,65,18.8,575,19125,179,19125
29441,102,-61.2,9507,52.14285714,75.28571429,65,5.2,160,19377,52,19377
29496,103,-54.41,8701,52.85714286,75.71428571,65,7.7,302,19650,114,19650
29602,104,-54.15,8112,53.57142857,76.14285714,65,7.2,429,19874,139,19874
29772,105,-52.57,5810,54.28571429,76.57142857,65,9.3,515,19960,231,19960
29946,106,-60.83,4267,55,77,65,14.8,536,20202,254,20202
30005,107,-61.79,8342,54.57142857,76.71428571,64.85714286,7.6,429,20506,142,20506
30127,108,-58.41,9042,54.14285714,76.42857143,64.71428571,13.9,420,20744,136,20744
30222,109,-52.81,8800,53.71428571,76.14285714,64.57142857,12.4,384,21010,134,21010
30309,110,-48.15,8839,53.28571429,75.85714286,64.42857143,12,378,21302,134,21302
30406,111,-44.36,9539,52.85714286,75.57142857,64.28571429,11.5,365,21525,135,21525
30475,112,-46.79,6226,52.42857143,75.28571429,64.14285714,12.1,368,21776,133,21776
30548,113,-58.25,5839,52,75,64,11.6,348,22114,127,22114
30656,114,-56.02,9167,52.85714286,75.85714286,64.85714286,11.6,347,22394,121,22394
30705,115,-54.56,8706,53.71428571,76.71428571,65.71428571,11.6,342,22606,115,22606
30769,116,-51.49,7598,54.57142857,77.57142857,66.57142857,11.2,342,22844,115,22844
30870,117,-46.07,7039,55.42857143,78.42857143,67.42857143,10.7,326,23069,107,23069
30924,118,-41.5,6959,56.28571429,79.28571429,68.28571429,9.8,302,23192,108,23192
31008,119,-45.47,4879,57.14285714,80.14285714,69.14285714,9.5,297,23314,101,23314
31101,120,-53.24,4455,58,81,70,9.8,305,23544,100,23544
31140,121,-53.15,8913,57.71428571,80.42857143,69.14285714,10,300,23843,106,23843
31208,122,-52.27,6200,57.42857143,79.85714286,68.28571429,9.5,290,24020,106,24020
31341,123,-49.02,6755,57.14285714,79.28571429,67.42857143,9.7,310,24324,112,24324
31447.5,124,-41.6,7018,56.85714286,78.71428571,66.57142857,9,295,24482,106,24482
31554,125,-36.9,8245,56.57142857,78.14285714,65.71428571,8.8,287,24621,102,24621
31650,126,-36.89,6204,56.28571429,77.57142857,64.85714286,8.6,272,24758,102,24758
